,Col1,Col2,Col3,Col4,Col5,Type
T0,0.7291,0.0433,0.0200,0.1789,0.0287,Historical
T1,0.7250,0.0431,0.0196,0.1823,0.0300,Historical
T2,0.7207,0.0434,0.0192,0.1861,0.0305,Historical
T3,0.7164,0.0442,0.0186,0.1901,0.0308,Historical
T4,0.7120,0.0451,0.0180,0.1939,0.0310,Historical
T5,0.7077,0.0459,0.0174,0.1978,0.0312,Historical
T6,0.7035,0.0466,0.0168,0.2017,0.0314,Historical
T7,0.6993,0.0469,0.0163,0.2053,0.0322,Forecast
T8,0.6954,0.0466,0.0158,0.2087,0.0335,Forecast
T9,0.6916,0.0455,0.0156,0.2117,0.0357,Forecast
T10,0.6880,0.0436,0.0154,0.2142,0.0388,Forecast
T11,0.6848,0.0405,0.0155,0.2162,0.0430,Forecast
T12,0.6819,0.0360,0.0159,0.2176,0.0487,Forecast
T13,0.6793,0.0301,0.0165,0.2182,0.0558,Forecast
T14,0.6772,0.0226,0.0174,0.2181,0.0647,Forecast
T15,0.6756,0.0131,0.0187,0.2171,0.0756,Forecast
T16,0.6744,0.0016,0.0203,0.2151,0.0885,Forecast
