单位",年份,耕地,林地,草地,城镇村,水域及水利设施用地,
题目,2009,16985.91122,1008.369915,466.587,4168.672065,668.421225,
题目,2010,16896.105,1003.869,457.161,4248.7695,699.8805,
题目,2011,16810.09275,1013.365695,447.758565,4342.03977,712.487775,
题目,2012,16724.1512,1032.123435,434.20869,4437.10098,718.30833,
题目,2013,16637.8326,1052.813505,420.281775,4531.761585,723.704715,
题目,2014,16551.5847,1073.220795,406.425555,4626.51645,729.171795,
题目,2015,16465.90236,1090.82385,393.11133,4721.789745,735.204435,
题目,2016,16380.19646,1108.426905,379.797105,4817.086605,741.21351,
全国,2009,203076.8,380924.3,430970.1,41966.5,64035.5,
全国,2010,202902.4,380649.2,430760.6,42711.5,63915,
全国,2011,202857.8,380340,430533.5,43424.6,63830.1,
全国,2012,202737.7,380095.3,430330.1,44126.5,63719.5,
全国,2013,202747,379880.6,430063.7,44731.7,63598.6,
全国,2014,202586,379606.9,429821.7,45395.6,63541.4,
全国,2015,202498,379488,429602.9,45949.1,63452.1,
全国,2016,202381.4,379362.1,429423,46489.1,63365.6,
北京市,2009,340.8,1115.5,127.3,409.2,120.4,
北京市,2010,335.7,1113,128.7,417.9,119.7,
北京市,2011,332.9,1111.1,128.5,424.5,119.1,
北京市,2012,331.3,1109.4,128.2,428.5,118.6,
北京市,2013,331.7,1107.1,128,433.1,118.1,
北京市,2014,329.9,1106.3,127.7,436.1,117.6,
北京市,2015,329,1105.6,127.6,438.2,117.5,
北京市,2016,324.5,1109.6,127.1,441.6,117,
北京市(市辖区),2009,273.4,716.1,119.8,376.1,77.1,
北京市(市辖区),2010,268.6,713.8,120.9,384.7,76.4,
北京市(市辖区),2011,265.9,712,120.7,391,75.8,
北京市(市辖区),2012,264.3,710.4,120.4,394.7,75.4,
北京市(市辖区),2013,262.8,708.7,120.4,399,74.9,
北京市(市辖区),2014,261.2,708,120.1,401.9,74.4,
北京市(市辖区),2015,260.3,707.3,120.1,403.9,74.3,
北京市(市辖区),2016,256,710.8,119.6,407.1,73.8,
北京市(县),2009,67.3,399.5,7.5,33.1,43.2,
北京市(县),2010,67,399.3,7.8,33.3,43.2,
北京市(县),2011,67,399.1,7.8,33.6,43.2,
北京市(县),2012,66.9,399.1,7.8,33.6,43.2,
北京市(县),2013,68.9,398.4,7.6,33.8,43.2,
北京市(县),2014,68.7,398.3,7.6,34.1,43.2,
北京市(县),2015,68.6,398.3,7.5,34.2,43.2,
北京市(县),2016,68.6,398.8,7.5,34.5,43.2,
天津市,2009,670.7,84.8,21.2,449.9,427.1,
天津市,2010,665.6,84.3,20.7,457.9,423.2,
天津市,2011,661.6,83.8,19.9,464.5,420.1,
天津市,2012,658.9,83.4,18.1,472.1,416.5,
天津市,2013,657.5,82.9,17.7,478.8,410.6,
天津市,2014,655.8,82.6,17.5,482.4,407.5,
天津市,2015,655.3,82.4,17.1,484.4,405,
天津市,2016,655.4,82.2,16.8,487.1,402,
天津市(市辖区),2009,364.1,21,16.6,366.5,296.8,
天津市(市辖区),2010,360.5,20.7,16.3,371.7,294.1,
天津市(市辖区),2011,357.8,20.3,15.7,376.6,291.5,
天津市(市辖区),2012,356.3,20.1,14.1,382.6,288.5,
天津市(市辖区),2013,355.1,19.7,13.9,387.3,284.5,
天津市(市辖区),2014,353.9,19.6,13.7,389.9,282.2,
天津市(市辖区),2015,353.4,19.5,13.4,391.2,280.3,
天津市(市辖区),2016,353,19.4,13.2,393.3,278.2,
天津市(县),2009,306.6,63.8,4.6,83.3,130.2,
天津市(县),2010,305.1,63.6,4.3,86,129.1,
天津市(县),2011,303.8,63.5,4.3,87.7,128.5,
天津市(县),2012,302.6,63.3,3.9,89.6,128,
天津市(县),2013,302.3,63.1,3.8,91.5,126.1,
天津市(县),2014,301.9,63,3.8,92.5,125.3,
天津市(县),2015,301.9,62.9,3.7,93.3,124.7,
天津市(县),2016,302.4,62.8,3.7,93.9,123.8,
河北省,2009,9842,6948,4220.5,2564.1,1326.9,
河北省,2010,9827.1,6938.6,4210.4,2606.7,1314.3,
河北省,2011,9847.5,6927.8,4196.6,2646,1301.9,
河北省,2012,9837.5,6920.8,4183.5,2676.7,1296.9,
河北省,2013,9826.8,6917,4172,2700,1290.1,
河北省,2014,9803.2,6909.4,4160.8,2734.1,1283,
河北省,2015,9788.2,6903.2,4152.5,2771.1,1278.3,
河北省,2016,9780.7,6898.5,4138.9,2810.7,1273.9,
石家庄市,2009,873.4,316.8,323.4,271.5,86.7,
石家庄市,2010,868.3,316.3,322.7,275.8,87.7,
石家庄市,2011,883.4,315.7,322,279,88,
石家庄市,2012,881.5,315.4,321.3,281.5,87.8,
石家庄市,2013,880.3,315.2,319.5,284.2,87.3,
石家庄市,2014,875.9,314.7,317.7,288.4,87,
石家庄市,2015,874.4,314.5,315.6,292.4,86.8,
石家庄市,2016,873,313.8,312.8,297.4,87.8,
唐山市,2009,844.2,171.1,111.8,383.8,307.2,
唐山市,2010,842.4,170.7,111.2,392.6,298.9,
唐山市,2011,840.9,170.2,110.8,408,291.1,
唐山市,2012,837.5,168.9,110.5,413.6,288.3,
唐山市,2013,837.7,168.6,110,416.3,286.1,
唐山市,2014,835.1,168.1,109.6,421.5,283.3,
唐山市,2015,833.6,167.7,109.1,424.4,281.9,
唐山市,2016,834.1,167.4,108.6,426.8,279.9,
秦皇岛市,2009,287.5,337.1,198.4,104.5,55.8,
秦皇岛市,2010,285.8,336.5,197.7,107.2,55.5,
秦皇岛市,2011,284.5,336.1,197.3,108.7,55.1,
秦皇岛市,2012,283.9,335.7,196.4,110.7,55,
秦皇岛市,2013,284.6,335.5,194.4,111.9,54.8,
秦皇岛市,2014,283.4,335,194,112.9,54.7,
秦皇岛市,2015,283,334.8,193.4,114.4,54.6,
秦皇岛市,2016,282.5,334.7,193.2,115.8,54.5,
邯郸市,2009,1014.1,192.2,99.6,243.5,62.3,
邯郸市,2010,1009.8,191.8,99,246.5,63.5,
邯郸市,2011,1008.5,191.6,98.4,248.2,63.1,
邯郸市,2012,1006.5,191.2,97.9,250.5,62.8,
邯郸市,2013,1003.9,191.2,97.2,252.3,62.7,
邯郸市,2014,1000.7,190.8,96.4,255.2,62.1,
邯郸市,2015,996.8,190.6,96.1,260.5,61.3,
邯郸市,2016,996.2,190.2,94.5,265.9,60.5,
邢台市,2009,1052.5,203.9,127.4,217,69.6,
邢台市,2010,1050.1,203.7,126.6,219.7,69.5,
邢台市,2011,1049.7,202.9,124.4,222.6,69,
邢台市,2012,1047.4,202.3,123.2,225.4,69,
邢台市,2013,1044.2,202,121.2,228.5,68.6,
邢台市,2014,1041.7,201.6,119.9,231.5,68.3,
邢台市,2015,1041.1,200.3,118.6,236.2,67.9,
邢台市,2016,1038.7,200.1,117.1,240.4,68.9,
保定市,2009,1212.5,382.4,480.8,377,150.1,
保定市,2010,1211.4,381.9,478.1,381.6,148.2,
保定市,2011,1211.2,381.4,477.7,383.9,146.4,
保定市,2012,1209.5,380.9,477.7,386.6,146.3,
保定市,2013,1209.4,380.7,476.8,389.1,144.7,
保定市,2014,1205.1,379.7,476.1,393.1,144.4,
保定市,2015,1203.2,379.1,475.6,397.4,143.7,
保定市,2016,1202.1,378,473.6,404.5,142.8,
张家口市,2009,1375.2,1654.5,1619.2,176.8,132.3,
张家口市,2010,1383.7,1653.8,1612.6,179.7,129.1,
张家口市,2011,1392.6,1652.2,1603.9,181.8,128.9,
张家口市,2012,1398.2,1651.6,1596.6,183.7,128.7,
张家口市,2013,1397.7,1650.9,1595.1,185.5,128.6,
张家口市,2014,1397.6,1649.9,1592.2,188.1,128.3,
张家口市,2015,1397.6,1649.6,1590.9,189.9,128.1,
张家口市,2016,1398.1,1649.2,1588.4,192,127.8,
承德市,2009,604.4,3528,1199.6,125.9,103.3,
承德市,2010,603.5,3523.7,1202.9,128.7,103.1,
承德市,2011,602,3522,1203.4,131,102.5,
承德市,2012,600.9,3521.2,1202.5,133.6,101.8,
承德市,2013,601.2,3520.6,1201.3,135.3,101,
承德市,2014,601,3519,1199.6,136.8,99.9,
承德市,2015,600,3517.8,1198.6,138.8,100,
承德市,2016,599.9,3517.4,1198,140,99.6,
沧州市,2009,1183.5,43.6,27.7,320.5,217.4,
沧州市,2010,1182.7,43.4,27.5,323.6,217.1,
沧州市,2011,1181.4,43.4,27.1,326.7,216.6,
沧州市,2012,1181.5,43.1,26.7,329.5,216.2,
沧州市,2013,1180.3,42.8,26.2,331.9,215.9,
沧州市,2014,1178.7,42.5,25.8,336.1,215.3,
沧州市,2015,1177.6,42.2,25.5,340.1,214.6,
沧州市,2016,1176.7,41.8,24.9,344.9,213.9,
廊坊市,2009,540,72.8,17.2,171.5,61.7,
廊坊市,2010,536.8,71.7,16.9,175.6,61.6,
廊坊市,2011,541.6,67.4,16.5,179.2,61.2,
廊坊市,2012,540.3,65.8,16,182.7,61.1,
廊坊市,2013,538.3,65.3,15.8,185.2,60.8,
廊坊市,2014,536.4,64.1,15.5,187.9,60.5,
廊坊市,2015,534,63,15.1,192.5,60.2,
廊坊市,2016,532.8,62.5,14.3,196.5,59.9,
衡水市,2009,854.6,45.6,15.3,172.2,80.5,
衡水市,2010,852.7,45,15.1,175.7,80.1,
衡水市,2011,851.7,44.8,15,176.9,80,
衡水市,2012,850.4,44.6,14.8,178.6,79.9,
衡水市,2013,849.2,44.3,14.5,180.2,79.6,
衡水市,2014,847.7,44,14.1,182.6,79.1,
衡水市,2015,846.9,43.7,13.9,184.6,79,
衡水市,2016,846.6,43.4,13.5,186.5,78.4,
山西省,2009,6102.6,7308.7,6175.6,1214,441.5,
山西省,2010,6096.3,7304,6172.4,1224.5,442.1,
山西省,2011,6096.8,7300.7,6163.7,1233.9,440.2,
山西省,2012,6096.3,7296.7,6150.4,1248,438.7,
山西省,2013,6092.6,7292.3,6138.3,1262.5,436.3,
山西省,2014,6085.3,7288.1,6127.3,1279.2,434.5,
山西省,2015,6088.2,7286,6118.6,1286.6,432.1,
山西省,2016,6085.2,7284,6113.6,1293.8,431.2,
太原市,2009,175,417.5,252,93.4,24.7,
太原市,2010,175.3,415.9,251.8,95.1,24.7,
太原市,2011,175.6,415.6,250.8,95.9,24.7,
太原市,2012,175.1,415.1,249.3,98.7,24.5,
太原市,2013,174.3,414.7,248.9,100.5,24.4,
太原市,2014,173.8,414.2,247.7,102.9,24.3,
太原市,2015,174.2,413.9,246.9,103.7,24.2,
太原市,2016,173.8,413.6,246.4,104.8,24.1,
大同市,2009,567,459.7,723.2,103.5,53.4,
大同市,2010,564.5,459.2,723.9,105.1,52.6,
大同市,2011,564.6,459,723,106.4,52.4,
大同市,2012,564.7,458.6,721.9,107.6,52,
大同市,2013,564.5,458.3,721.3,108.6,51.8,
大同市,2014,564,458.1,721.1,109.3,51.6,
大同市,2015,564.3,458,720.6,109.7,51.4,
大同市,2016,563.5,457.5,720.1,110.6,51.1,
阳泉市,2009,115,234.4,174.5,39.2,5.7,
阳泉市,2010,115,234.3,174.4,39.7,5.6,
阳泉市,2011,115.1,234.2,174.1,39.9,5.5,
阳泉市,2012,114.6,233.9,173.6,40.4,5.5,
阳泉市,2013,114.5,233.7,173.1,41,5.5,
阳泉市,2014,114.4,233.6,172.6,41.5,5.5,
阳泉市,2015,114.4,233.5,172.4,41.7,5.4,
阳泉市,2016,114.1,233.5,172.2,42.2,5.4,
长治市,2009,541.7,746.6,491.7,118.7,28.9,
长治市,2010,541.1,746.4,491.6,119.4,28.9,
长治市,2011,540.8,746.1,490.9,120.2,28.8,
长治市,2012,540,745.8,490.5,121.5,28.7,
长治市,2013,539.3,745.5,489.5,122.9,28.6,
长治市,2014,538.1,745.2,488.7,124.7,28.6,
长治市,2015,537.7,745,488.5,125,28.5,
长治市,2016,537.3,744.9,488.4,125.3,28.5,
晋城市,2009,307.1,605.8,293,71.5,18.6,
晋城市,2010,307.1,605.7,292.5,71.9,18.5,
晋城市,2011,307.1,605.7,291.9,72.2,18.5,
晋城市,2012,306.8,605.5,291.3,73.1,18.5,
晋城市,2013,307,605.2,290.4,73.8,18.5,
晋城市,2014,307.1,604.8,289,74.8,18.4,
晋城市,2015,307,604.8,288.5,75.2,18.4,
晋城市,2016,307.1,604.7,288.1,75.4,18.4,
朔州市,2009,593.9,327.1,418.8,74.9,41.9,
朔州市,2010,593.8,326.6,418.3,76.2,41.8,
朔州市,2011,593.8,326.4,417.7,77,41.7,
朔州市,2012,594.1,325.8,416.7,78.1,41.8,
朔州市,2013,594.1,325.3,415.6,79.8,41.3,
朔州市,2014,593.1,324.8,415.2,80.8,41.2,
朔州市,2015,592.8,324.6,414.7,81.4,41.9,
朔州市,2016,592.8,324.5,414.5,82,41.8,
晋中市,2009,560.7,793,696.7,112.5,37.5,
晋中市,2010,560.1,792.7,696,113,37.6,
晋中市,2011,560.1,792.4,694.8,114.2,37.4,
晋中市,2012,560.3,791.6,693,115.7,37.5,
晋中市,2013,560.5,791.1,691.5,116.9,37.4,
晋中市,2014,559.8,790.5,690.5,118.3,37.3,
晋中市,2015,560.1,790,688.9,119.8,37.1,
晋中市,2016,559.2,789.9,688.3,120.9,37.4,
运城市,2009,758.2,502.1,214.4,189,87.1,
运城市,2010,756.6,501.6,214.1,189.9,88.8,
运城市,2011,756.5,501.5,213.9,190.9,88.1,
运城市,2012,757.2,501.2,212.4,191.9,87.7,
运城市,2013,756.8,501,211.6,193.3,87.6,
运城市,2014,755.9,500.8,210.9,195.5,87.2,
运城市,2015,758.3,500.7,209.9,195.7,85.6,
运城市,2016,757.7,500.5,209.7,196.2,85.4,
忻州市,2009,949.7,938.1,1450.1,115.4,66.6,
忻州市,2010,949.3,938,1449.4,116.4,66.3,
忻州市,2011,949.5,937.8,1448.3,117.1,66.1,
忻州市,2012,949.9,937.5,1446.3,118,65.8,
忻州市,2013,949.8,937,1443.9,119.6,65.2,
忻州市,2014,949.7,936.8,1442.2,121.2,64.8,
忻州市,2015,950.2,936.6,1440.4,122.7,64,
忻州市,2016,950.3,936.3,1439.6,123.5,63.6,
临汾市,2009,761.2,1128.1,733,161.8,33.3,
临汾市,2010,760.8,1127.4,732.5,162.8,33.5,
临汾市,2011,761.2,1126.5,731.6,163.2,33.4,
临汾市,2012,761.3,1126.3,730.3,164.5,33.4,
临汾市,2013,759.8,1125.7,729.4,165.7,33.3,
临汾市,2014,758.3,1125.3,728,167.4,33.2,
临汾市,2015,758.8,1125.2,726.8,168.2,33.1,
临汾市,2016,759.3,1125,725.7,168.6,33.1,
吕梁市,2009,772.9,1156.3,728.2,134.1,43.8,
吕梁市,2010,772.5,1156.1,727.8,135.1,43.8,
吕梁市,2011,772.4,1155.6,726.7,136.7,43.5,
吕梁市,2012,772.3,1155.2,725.2,138.5,43.3,
吕梁市,2013,772,1154.7,722.9,140.4,42.7,
吕梁市,2014,771,1154.1,721.5,142.9,42.5,
吕梁市,2015,770.4,1153.7,720.9,143.7,42.5,
吕梁市,2016,770,1153.6,720.6,144.2,42.4,
内蒙古自治区,2009,13783.9,34936.4,88730.2,1791.9,3167.4,
内蒙古自治区,2010,13781.5,34927.2,88684.5,1832.1,3166.7,
