Et,Et+1,G,P
1.678978568,1.541723666,1.7955148,1.936981304
1.069810025,1.131609064,1.8727356,0.357244221
0.916236304,0.932327025,1.893106,0.109185503
0.375135508,0.37794422,1.6337348,0.097186361
0.297856679,0.302468067,1.4183192,0.073130548
0.941596014,0.888375457,1.6271976,0.089619078
0.411561321,0.389315922,1.504894,0.058379529
0.318207908,0.327852101,1.3477868,0.042984465
1.5943098,1.502107482,2.7624984,1.408693361
1.536820477,1.581477191,2.8092608,0.220463835
1.482563429,1.590063681,3.1112592,0.373536844
0.747637453,0.792708883,2.4859476,0.098373887
2.782234528,3.109855571,3.0417076,0.330659283
0.927466182,1.01544101,3.2224096,0.18078308
1.254710288,1.225318618,2.0337184,0.126713967
0.942683724,0.962225046,2.0641088,0.097660963
1.090123692,1.194747859,2.6077904,0.117330162
1.356729796,1.465447448,2.7095244,0.162941545
2.110172407,2.323636225,3.5884592,0.310371192
0.953388002,1.042954819,2.7485164,0.113015923
1.823804932,2.025623364,3.2112276,0.22625706
0.715120346,0.809833368,2.7642916,0.136321744
0.947470066,1.014811183,2.2386536,0.137660814
0.60358355,0.682593556,2.5230944,0.117745846
0.54491423,0.585181606,2.4148076,0.103329307
0.337471783,0.390519187,1.49747,0.452076749
0.704220064,0.747346816,1.9357888,0.130301362
0.320396659,0.330796852,1.335418,0.092476139
0.542658056,0.575798776,1.3133816,0.347399728
0.374389582,0.382606,1.4845728,0.128881482
0.540461369,0.572317832,1.5070252,0.116660564
1.541723666,1.405836753,1.7955148,1.936981304
1.131609064,0.87457084,1.8727356,0.357244221
0.932327025,0.823446479,1.893106,0.109185503
0.37794422,0.349536809,1.6337348,0.097186361
0.302468067,0.304557263,1.4183192,0.073130548
0.888375457,0.773817656,1.6271976,0.089619078
0.389315922,0.294933707,1.504894,0.058379529
0.327852101,0.353006478,1.3477868,0.042984465
1.502107482,1.541622761,2.7624984,1.408693361
1.581477191,1.565323832,2.8092608,0.220463835
1.590063681,1.563428687,3.1112592,0.373536844
0.792708883,0.782901122,2.4859476,0.098373887
3.109855571,2.953827733,3.0417076,0.330659283
1.01544101,0.995555844,3.2224096,0.18078308
1.225318618,1.200945999,2.0337184,0.126713967
0.962225046,0.93296241,2.0641088,0.097660963
1.194747859,1.166450999,2.6077904,0.117330162
1.465447448,1.25620452,2.7095244,0.162941545
2.323636225,2.282159104,3.5884592,0.310371192
1.042954819,1.067328442,2.7485164,0.113015923
2.025623364,2.051108968,3.2112276,0.22625706
0.809833368,0.782760749,2.7642916,0.136321744
1.014811183,1.033291737,2.2386536,0.137660814
0.682593556,0.752391237,2.5230944,0.117745846
0.585181606,0.623806072,2.4148076,0.103329307
0.390519187,0.402257336,1.49747,0.452076749
0.747346816,0.770324389,1.9357888,0.130301362
0.330796852,0.290163538,1.335418,0.092476139
0.575798776,0.618796737,1.3133816,0.347399728
0.382606,0.401054182,1.4845728,0.128881482
0.572317832,0.64109927,1.5070252,0.116660564
