单位：平方公里,,,,,,,,
行政单位,年份,耕地,园地,林地,草地,城镇村,交通运输用地,水域及水利设施用地
北京市,2009,0.142456931,0.088784777,0.466287492,0.053212554,0.171048639,0.027881304,0.050328303
北京市,2010,0.140348677,0.087336636,0.465320457,0.053806597,0.174714662,0.028429073,0.050043898
北京市,2011,0.139206921,0.086602181,0.464622927,0.053734412,0.177511044,0.028519062,0.049803452
北京市,2012,0.138549833,0.086023509,0.46395096,0.053613435,0.179198863,0.029064683,0.049598716
北京市,2013,0.138711039,0.08505839,0.462970432,0.053527195,0.181114779,0.029230981,0.049387184
北京市,2014,0.13798722,0.084783216,0.462732415,0.05341293,0.182407544,0.029488068,0.049188608
北京市,2015,0.137610604,0.08461622,0.462439463,0.053371454,0.183285682,0.029530067,0.04914651
北京市,2016,0.135705741,0.08372388,0.464034682,0.053153031,0.184677188,0.02977606,0.048929418
天津市,2009,0.380733465,0.02696443,0.048137813,0.01203424,0.255392758,0.034287325,0.242449968
天津市,2010,0.377859602,0.026568273,0.047856954,0.011751352,0.259949265,0.035764983,0.240249571
天津市,2011,0.375674152,0.026346856,0.047584126,0.011300027,0.263755592,0.036795143,0.238544105
天津市,2012,0.374247487,0.026127726,0.047370188,0.010280864,0.268146786,0.03725972,0.236567229
天津市,2013,0.373537026,0.025906162,0.047097232,0.010055681,0.272014698,0.038120406,0.233268795
天津市,2014,0.372676631,0.0258001,0.046940037,0.009945147,0.274137248,0.038927319,0.231573519
天津市,2015,0.372520429,0.025524139,0.046841864,0.009720883,0.27536788,0.039793372,0.230231434
天津市,2016,0.372661553,0.025359371,0.046739095,0.009552516,0.276965814,0.040143595,0.228578057
石家庄市,2009,0.428788881,0.056753126,0.155530387,0.158770603,0.13329072,0.024301623,0.042564661
石家庄市,2010,0.426284763,0.056605802,0.155285047,0.158426582,0.135401915,0.024940074,0.043055816
石家庄市,2011,0.433889522,0.047347963,0.155059109,0.15815341,0.137033332,0.025294437,0.043222228
石家庄市,2012,0.433020616,0.047256203,0.15493459,0.157832609,0.13828185,0.025544272,0.04312986
石家庄市,2013,0.432707572,0.047090285,0.154934832,0.157048723,0.139697419,0.025609264,0.042911905
石家庄市,2014,0.430968173,0.046496764,0.154841605,0.156317692,0.141901481,0.026667739,0.042806545
石家庄市,2015,0.430187585,0.046344572,0.154728143,0.155269075,0.14385488,0.026911584,0.042704161
石家庄市,2016,0.429288068,0.046124864,0.15430767,0.153815685,0.146243397,0.027045886,0.04317443
唐山市,2009,0.406862883,0.092293823,0.082462026,0.053881861,0.184972966,0.031471148,0.148055292
唐山市,2010,0.406250294,0.092110165,0.082320661,0.053626341,0.189332458,0.032214288,0.144145793
唐山市,2011,0.404433912,0.091525717,0.081858549,0.053289903,0.196229083,0.032656992,0.140005844
唐山市,2012,0.403148022,0.09117192,0.081303572,0.053191743,0.19909483,0.033310637,0.138779277
唐山市,2013,0.403245069,0.090930818,0.081159219,0.052950614,0.200394676,0.033599484,0.137720119
唐山市,2014,0.401992442,0.090594209,0.080918657,0.052758471,0.202897755,0.034465902,0.136372564
唐山市,2015,0.401309504,0.090410233,0.080733738,0.052522424,0.204313406,0.034999303,0.135711392
唐山市,2016,0.401472997,0.090296715,0.08057372,0.05227184,0.205429051,0.035232953,0.134722725
秦皇岛市,2009,0.250982431,0.120907411,0.294281408,0.173199837,0.091226935,0.020689646,0.048712331
秦皇岛市,2010,0.249519382,0.119958093,0.293783394,0.172603457,0.093592195,0.02208879,0.048454688
秦皇岛市,2011,0.24868914,0.119668217,0.293794015,0.172464523,0.095017878,0.02220235,0.048163878
秦皇岛市,2012,0.248273392,0.119020166,0.293572494,0.171753027,0.096808088,0.02247443,0.048098403
秦皇岛市,2013,0.249015333,0.118908093,0.293552058,0.170093696,0.097908871,0.022574163,0.047947785
秦皇岛市,2014,0.248247852,0.118692728,0.293447612,0.169936642,0.098896811,0.022862669,0.047915687
秦皇岛市,2015,0.247876195,0.118507385,0.293246656,0.169395928,0.100201804,0.022948653,0.047823379
秦皇岛市,2016,0.247329493,0.118281053,0.293030812,0.169147408,0.101383384,0.02311331,0.04771454
邯郸市,2009,0.601020033,0.016417067,0.113909568,0.059029253,0.144313189,0.02838827,0.03692262
邯郸市,2010,0.598577711,0.01630084,0.11369331,0.058684089,0.146117158,0.028986384,0.037640508
邯郸市,2011,0.598019508,0.016128745,0.113614572,0.058349181,0.147177803,0.02929289,0.037417302
邯郸市,2012,0.596939506,0.015953675,0.113398045,0.058063265,0.148567657,0.029831852,0.037246
邯郸市,2013,0.59596296,0.015672292,0.113505687,0.057702531,0.149777249,0.030157587,0.037221694
邯郸市,2014,0.594663182,0.015569582,0.113382424,0.057285757,0.151651666,0.030544619,0.03690277
邯郸市,2015,0.592028986,0.015441879,0.113203328,0.057076956,0.154719025,0.031121628,0.036408197
邯郸市,2016,0.591041288,0.015129051,0.11284492,0.056066482,0.157757732,0.031266408,0.035894118
邢台市,2009,0.582812333,0.047953665,0.112907446,0.070546285,0.120162002,0.027077919,0.038540351
邢台市,2010,0.581450997,0.047840532,0.112790698,0.070099668,0.121650332,0.027685216,0.038482558
邢台市,2011,0.581583789,0.047481604,0.11241654,0.068923247,0.123331001,0.028034533,0.038229286
邢台市,2012,0.580405264,0.047268317,0.112102558,0.068269624,0.124903164,0.028815495,0.038235578
邢台市,2013,0.578953409,0.047072561,0.111998596,0.067198991,0.12669089,0.030050757,0.038034795
邢台市,2014,0.578048592,0.046723029,0.111869579,0.066533267,0.128461069,0.030464483,0.037899982
邢台市,2015,0.577586802,0.046046867,0.111123131,0.065797763,0.131040463,0.030734804,0.03767017
邢台市,2016,0.575935639,0.045688636,0.110950867,0.064929545,0.133296572,0.030995547,0.038203195
保定市,2009,0.442260134,0.025496079,0.139480515,0.175371991,0.13751086,0.025131146,0.054749274
保定市,2010,0.441939609,0.025464061,0.139323705,0.174418942,0.13921426,0.025573506,0.054065916
保定市,2011,0.441979294,0.025397743,0.139176894,0.174317737,0.140088805,0.025616689,0.053422838
保定市,2012,0.441278632,0.025356475,0.138968896,0.17428616,0.141048507,0.025684835,0.053376494
保定市,2013,0.441290089,0.025286415,0.138911086,0.173976557,0.141976106,0.025760946,0.052798801
保定市,2014,0.43994605,0.025153151,0.138616957,0.173809903,0.143509262,0.026248362,0.052716314
保定市,2015,0.43918802,0.024784823,0.138377683,0.173602168,0.14505749,0.026536903,0.052452913
保定市,2016,0.438498577,0.024549683,0.137885752,0.172758262,0.147552528,0.026665025,0.052090173
张家口市,2009,0.261803204,0.041558689,0.314974841,0.308254711,0.033658331,0.01456366,0.025186565
张家口市,2010,0.263316213,0.041389937,0.314715664,0.306875554,0.034196651,0.014938342,0.024567639
张家口市,2011,0.265009775,0.041180704,0.314411377,0.305219956,0.034596278,0.015052521,0.024529389
张家口市,2012,0.266075352,0.041085364,0.314297197,0.303830681,0.034957941,0.01526204,0.024491425
张家口市,2013,0.265975211,0.041008651,0.314157885,0.303539428,0.035299803,0.01554719,0.024471832
张家口市,2014,0.266006807,0.040902273,0.314027372,0.303045452,0.035801301,0.015797395,0.024419399
张家口市,2015,0.266006807,0.040826045,0.313970273,0.302797926,0.036143897,0.015873623,0.024381428
张家口市,2016,0.266086894,0.040728637,0.313876319,0.302304655,0.036541496,0.016139066,0.024322933
承德市,2009,0.104043579,0.035582107,0.607323046,0.206503521,0.021672808,0.007092407,0.017782532
承德市,2010,0.103886879,0.035323289,0.606572404,0.207068066,0.022154519,0.007247213,0.017747629
承德市,2011,0.103632226,0.03515227,0.606300672,0.207161423,0.022551131,0.007557326,0.017644951
承德市,2012,0.10344824,0.035119722,0.606194034,0.207017075,0.023000061,0.007695351,0.017525516
承德市,2013,0.103505259,0.035121545,0.606122202,0.206821224,0.023293848,0.0077474,0.017388522
承德市,2014,0.103485184,0.035109084,0.605930213,0.206556857,0.023555343,0.00816172,0.017201599
承德市,2015,0.10331467,0.035058025,0.605733913,0.206388359,0.023900041,0.008385794,0.017219198
承德市,2016,0.103299153,0.035041585,0.605675431,0.206288615,0.024107088,0.008437597,0.017150532
沧州市,2009,0.589450847,0.068632549,0.021715549,0.013796437,0.159627622,0.038499582,0.108277414
沧州市,2010,0.588642787,0.068385461,0.021600399,0.013686798,0.161058959,0.038572834,0.108052761
沧州市,2011,0.587790584,0.068162363,0.021592871,0.01348351,0.162545441,0.038658649,0.107766582
沧州市,2012,0.587314606,0.067952246,0.021424422,0.01327236,0.163792107,0.038773187,0.107471071
沧州市,2013,0.586513864,0.067779517,0.021267889,0.013019529,0.164927698,0.039206917,0.107284586
沧州市,2014,0.585369487,0.067491061,0.021106228,0.012812872,0.166915226,0.039382449,0.106922676
沧州市,2015,0.584243298,0.067225409,0.020936451,0.012651323,0.16873367,0.039740038,0.106469812
沧州市,2016,0.583217788,0.066861353,0.020717927,0.012341393,0.170945388,0.039899128,0.106017024
廊坊市,2009,0.571307962,0.044752457,0.077020248,0.018197746,0.181442648,0.042002244,0.065276696
廊坊市,2010,0.568342365,0.044150251,0.075913021,0.017893557,0.185918611,0.042562112,0.065220084
廊坊市,2011,0.573425318,0.039703526,0.071359941,0.017469551,0.189730445,0.043515064,0.064796154
廊坊市,2012,0.5720484,0.039174675,0.069666983,0.0169407,0.193435578,0.044043915,0.064689749
廊坊市,2013,0.570415159,0.038677036,0.069195226,0.016742088,0.196249442,0.044294291,0.064426759
廊坊市,2014,0.568823509,0.038387633,0.067974091,0.016436391,0.19925843,0.044963462,0.064156484
廊坊市,2015,0.566097442,0.037952381,0.066786777,0.016008154,0.204070177,0.045267123,0.063817946
廊坊市,2016,0.564108591,0.037480188,0.066173178,0.015139773,0.208046806,0.045632129,0.063419337
衡水市,2009,0.661096542,0.057863773,0.035275006,0.011835693,0.133209561,0.038446275,0.062273149
衡水市,2010,0.659270272,0.057522786,0.034792008,0.011675038,0.135843074,0.038967048,0.061929773
衡水市,2011,0.658650266,0.057226477,0.034645839,0.01160004,0.136802751,0.039208135,0.061866493
衡水市,2012,0.657694896,0.057076566,0.034493039,0.011446636,0.13812877,0.039365429,0.061794664
衡水市,2013,0.657225049,0.056574247,0.034284925,0.011222442,0.139462665,0.039625075,0.061605597
衡水市,2014,0.656166221,0.056196409,0.034058043,0.010914179,0.141342096,0.040095673,0.061227381
衡水市,2015,0.655190581,0.055855983,0.033807416,0.010753899,0.142813212,0.040461442,0.061117468
衡水市,2016,0.654706252,0.055602471,0.033562395,0.010440036,0.144226776,0.04083214,0.060629929
太原市,2009,0.173198971,0.026821516,0.413201584,0.249405806,0.092438996,0.020486905,0.024446223
太原市,2010,0.173512884,0.026427728,0.411659379,0.249232779,0.094130223,0.020588388,0.024448618
太原市,2011,0.173758486,0.026419922,0.411240935,0.248169159,0.094893534,0.021076567,0.024441397
太原市,2012,0.173280231,0.025928279,0.410786651,0.246709794,0.097674515,0.021375578,0.024244952
太原市,2013,0.172471884,0.025726809,0.410350985,0.24628896,0.099445923,0.02157086,0.02414458
太原市,2014,0.171943425,0.025326956,0.409773739,0.245052807,0.101800504,0.022062217,0.024040352
太原市,2015,0.172355554,0.025230076,0.409518269,0.244286501,0.102601814,0.022064444,0.023943342
太原市,2016,0.171960267,0.025032613,0.40922023,0.243791565,0.103690852,0.022459153,0.023845319
大同市,2009,0.28780265,0.014110705,0.233338663,0.367087711,0.052535404,0.018019644,0.027105223
大同市,2010,0.286446187,0.014157406,0.233013396,0.367331405,0.053331557,0.019028772,0.026691277
大同市,2011,0.286468184,0.014155973,0.232888587,0.366837578,0.053985249,0.019077837,0.026586592
大同市,2012,0.286519176,0.014104981,0.23268538,0.366279711,0.054594108,0.019432498,0.026384146
大同市,2013,0.286446405,0.01410642,0.232556883,0.366012609,0.055107364,0.019485477,0.026284843
大同市,2014,0.286236297,0.014058313,0.232490865,0.365966048,0.055471224,0.019589677,0.026187576
大同市,2015,0.286373944,0.014057596,0.232428005,0.365693894,0.055670882,0.019690683,0.026084997
大同市,2016,0.285997165,0.014059019,0.232198025,0.365477407,0.056133301,0.020199706,0.025935377
阳泉市,2009,0.197628978,0.008421536,0.402818521,0.29987833,0.067364552,0.014092603,0.009795481
阳泉市,2010,0.197527143,0.008417196,0.402438333,0.299553762,0.068190367,0.014255386,0.009617812
阳泉市,2011,0.197697696,0.008244597,0.402266749,0.299039247,0.068533209,0.01477071,0.009447792
阳泉市,2012,0.196806277,0.008243195,0.401683157,0.298128022,0.069379365,0.016313798,0.009446186
阳泉市,2013,0.196599754,0.008241772,0.401271293,0.297218917,0.070397614,0.016826093,0.009444556
阳泉市,2014,0.196361492,0.008238908,0.400959318,0.296258249,0.071233081,0.017507679,0.009441273
阳泉市,2015,0.196463163,0.008070582,0.400996909,0.296066461,0.071612571,0.017516744,0.00927357
阳泉市,2016,0.195847065,0.008066426,0.400790422,0.295571576,0.072433059,0.018022657,0.009268795
长治市,2009,0.274000759,0.009762519,0.37764264,0.248710167,0.060040212,0.015225341,0.014618361
长治市,2010,0.273697269,0.009762519,0.37754173,0.248659332,0.060394537,0.015326252,0.014618361
长治市,2011,0.27360095,0.009713652,0.377466452,0.248356078,0.060811257,0.015481133,0.014570478
长治市,2012,0.273155009,0.009712178,0.377257417,0.2481158,0.061459877,0.015782289,0.01451743
长治市,2013,0.272842277,0.009662815,0.377163186,0.247647473,0.062177286,0.016037404,0.014469558
长治市,2014,0.272221126,0.009612233,0.376991956,0.247230232,0.063084687,0.016390955,0.014468812
长治市,2015,0.272060358,0.009613684,0.376947953,0.247166631,0.063246005,0.016545221,0.014420147
长治市,2016,0.271857923,0.009613692,0.376897389,0.247115968,0.063397845,0.016697025,0.014420158
晋城市,2009,0.22892256,0.014088712,0.451584589,0.218411934,0.053298939,0.019828185,0.013865082
晋城市,2010,0.228974022,0.014091879,0.451611172,0.218088604,0.053608416,0.019832642,0.013793265
晋城市,2011,0.228974022,0.014091879,0.451611172,0.217641243,0.053832096,0.020056323,0.013793265
晋城市,2012,0.228767227,0.014017981,0.451495751,0.217209915,0.054507162,0.02020768,0.013794284
晋城市,2013,0.228968068,0.014021102,0.45137252,0.216587031,0.055041746,0.020212179,0.013797355
晋城市,2014,0.229058817,0.013948295,0.451107126,0.215559168,0.055792061,0.020810001,0.013724532
晋城市,2015,0.228985232,0.013948311,0.45110763,0.215185724,0.056089729,0.020958827,0.013724547
晋城市,2016,0.229075989,0.013949341,0.451065977,0.214903987,0.056243804,0.021035342,0.01372556
朔州市,2009,0.395090667,0.000931015,0.21760307,0.278606012,0.049826769,0.030068893,0.027873574
朔州市,2010,0.394971599,0.00093089,0.217240516,0.278236238,0.050685097,0.030131691,0.027803968
朔州市,2011,0.394998004,0.000930952,0.217122331,0.277855717,0.051220315,0.030133706,0.027738974
朔州市,2012,0.394750507,0.000864118,0.216478046,0.276876616,0.051893934,0.031362406,0.027774372
朔州市,2013,0.394619536,0.000863831,0.216074439,0.276054432,0.053005576,0.031949808,0.027432378
朔州市,2014,0.394033885,0.000864004,0.215784874,0.27584365,0.053680888,0.032420598,0.027372101
朔州市,2015,0.393756096,0.000863832,0.21560936,0.2754569,0.05406873,0.032414137,0.027830944
朔州市,2016,0.393677649,0.00086366,0.215499663,0.275268537,0.054456417,0.032474421,0.027759653
晋中市,2009,0.245576276,0.01953376,0.347319618,0.305141991,0.049272929,0.016731116,0.01642431
晋中市,2010,0.245313649,0.019139589,0.347188452,0.304835386,0.049491733,0.017562854,0.016468338
晋中市,2011,0.245335247,0.019009868,0.347087613,0.304336599,0.050021715,0.017827213,0.016381745
晋中市,2012,0.245465693,0.018881774,0.346797596,0.303601423,0.050687638,0.018137228,0.016428648
晋中市,2013,0.245575053,0.018840037,0.346608833,0.302970557,0.051217797,0.018401682,0.016386041
晋中市,2014,0.245311184,0.018755263,0.346406737,0.302585299,0.051840721,0.018755263,0.016345534
晋中市,2015,0.245485409,0.01871514,0.346248162,0.301937191,0.052507186,0.018846626,0.016260286
晋中市,2016,0.24509111,0.018671104,0.346204342,0.301674417,0.052989119,0.018978125,0.016391783
运城市,2009,0.372818262,0.117765895,0.246889659,0.105423366,0.092934061,0.021340168,0.042828588
运城市,2010,0.37217786,0.117270706,0.24674123,0.105317333,0.093413396,0.021398013,0.043681462
运城市,2011,0.372146821,0.117128924,0.24670399,0.105224399,0.093910193,0.021546651,0.043339023
运城市,2012,0.372509562,0.116691867,0.246568418,0.104491589,0.094406232,0.02218749,0.043144843
运城市,2013,0.372330667,0.116304212,0.246482277,0.10410334,0.095100095,0.022581909,0.0430975
运城市,2014,0.37196145,0.115982518,0.246432866,0.103779232,0.096200986,0.022734,0.042908948
运城市,2015,0.373215438,0.115808832,0.246431614,0.103307115,0.096318734,0.022787911,0.042130356
运城市,2016,0.373067484,0.115755625,0.246430758,0.103249707,0.09660273,0.022845659,0.042048037
忻州市,2009,0.262572965,0.014902136,0.259365934,0.400923582,0.031905659,0.011916152,0.018413571
忻州市,2010,0.262484203,0.014875986,0.259359445,0.400763231,0.032184921,0.012000081,0.018332133
忻州市,2011,0.262553848,0.014876807,0.259318588,0.400480892,0.032380397,0.012111489,0.018277979
忻州市,2012,0.262657295,0.014848604,0.259228428,0.399916881,0.032628356,0.012525918,0.018194518
忻州市,2013,0.262629614,0.014820821,0.259090419,0.399253422,0.03307051,0.013106595,0.018028619
忻州市,2014,0.262616312,0.014794263,0.25904913,0.398805492,0.033514914,0.013301024,0.017918865
忻州市,2015,0.262783845,0.014740308,0.259022543,0.398351697,0.033933446,0.013468426,0.017699735
忻州市,2016,0.262811442,0.01474032,0.25893979,0.398130506,0.034154581,0.013634371,0.017588989
临汾市,2009,0.260088103,0.020945245,0.385451032,0.250452685,0.055284232,0.01640071,0.011377993
临汾市,2010,0.259933807,0.020841341,0.385185823,0.2502647,0.055621837,0.016707102,0.01144539
临汾市,2011,0.260097167,0.020809126,0.384917586,0.249982702,0.055764359,0.01701633,0.01141273
临汾市,2012,0.260139795,0.020775489,0.384862437,0.249547284,0.056210632,0.017051247,0.011413116
临汾市,2013,0.259636154,0.020673688,0.384670624,0.249248309,0.056622623,0.017769438,0.011379165
临汾市,2014,0.259168081,0.020609054,0.384599808,0.248812288,0.057213195,0.018250804,0.011346771
临汾市,2015,0.259339311,0.020574706,0.384565459,0.248402157,0.057486444,0.018318988,0.011312935
临汾市,2016,0.25952759,0.02054226,0.384523296,0.248043161,0.057627225,0.018422767,0.011313701
吕梁市,2009,0.258089415,0.041439703,0.386115573,0.243163048,0.044779102,0.011787322,0.014625837
吕梁市,2010,0.257964336,0.041374474,0.386061411,0.243037467,0.045114706,0.011821278,0.014626327
吕梁市,2011,0.257956618,0.041311993,0.385933273,0.24269462,0.045653241,0.011922653,0.014527602
吕梁市,2012,0.25794927,0.041215911,0.385837983,0.242217815,0.046258995,0.012057609,0.014462418
吕梁市,2013,0.257857854,0.041049975,0.385684289,0.241457504,0.046895362,0.012792514,0.014262503
吕梁市,2014,0.25751503,0.040747996,0.385470942,0.240981964,0.047728958,0.01336022,0.01419489
吕梁市,2015,0.257323396,0.040749384,0.385350303,0.240789766,0.047997627,0.013594151,0.014195373
吕梁市,2016,0.25721514,0.040720357,0.385355463,0.240713442,0.048169245,0.013662642,0.014163711
呼和浩特市,2009,0.334701743,0.002249765,0.218898029,0.35234464,0.048152676,0.012551323,0.031101823
呼和浩特市,2010,0.334768253,0.002251009,0.218663588,0.35182853,0.048811349,0.012676734,0.031000538
